Matrix,Threads,Config,Optimization,Time_ms,Speedup_vs_Serial,Speedup_vs_Phase1,Improvement_Percent
20k_0p38.mtx,8,Prefetch-16 + Baseline,Baseline,0.5089,1036.3,-4.99,-4.99
20k_0p38.mtx,8,RegBlock4 + Prefetch8,Combined,0.2891,1824.4,40.36,+40.36
20k_0p38.mtx,8,RegBlock4 + Prefetch16,Combined,0.2858,1845.5,41.05,+41.05
20k_0p38.mtx,8,RegBlock8 + Prefetch8,Combined,0.2797,1885.5,42.30,+42.30
20k_0p38.mtx,16,RegBlock-4 + Baseline,Baseline,0.1978,2670.1,50.64,+50.64
20k_0p38.mtx,16,RegBlock-8 + Baseline,Baseline,0.2034,2596.0,49.23,+49.23
20k_0p38.mtx,16,Prefetch-8 + Baseline,Baseline,0.4171,1266.2,-4.08,-4.08
20k_0p38.mtx,16,Prefetch-16 + Baseline,Baseline,0.4124,1280.6,-2.92,-2.92
20k_0p38.mtx,16,RegBlock4 + Prefetch8,Combined,0.2291,2305.8,42.84,+42.84
20k_0p38.mtx,16,RegBlock4 + Prefetch16,Combined,0.2269,2327.5,43.38,+43.38
20k_0p38.mtx,16,RegBlock8 + Prefetch8,Combined,0.2178,2424.7,45.65,+45.65
20k_0p38.mtx,24,RegBlock-4 + Baseline,Baseline,0.1875,2769.6,49.82,+49.82
20k_0p38.mtx,24,RegBlock-8 + Baseline,Baseline,0.1939,2679.2,48.12,+48.12
20k_0p38.mtx,24,Prefetch-8 + Baseline,Baseline,0.3849,1349.2,-3.01,-3.01
20k_0p38.mtx,24,Prefetch-16 + Baseline,Baseline,0.3806,1364.7,-1.85,-1.85
20k_0p38.mtx,24,RegBlock4 + Prefetch8,Combined,0.2132,2436.4,42.95,+42.95
20k_0p38.mtx,24,RegBlock4 + Prefetch16,Combined,0.2102,2470.4,43.74,+43.74
20k_0p38.mtx,24,RegBlock8 + Prefetch8,Combined,0.2013,2580.0,46.13,+46.13
25k_0p03.mtx,2,RegBlock-8 + Baseline,Baseline,0.1115,7137.4,-4.59,-4.59
