matrix,rows,cols,density_pct,nnz,threads,configuration,time_ms,speedup,efficiency_pct,std_dev_ms,improvement_pct,exit_code,notes
"15k_0p41.mtx",15449,15449,0.81,1930655,2,"Dynamic, chunk=64",146.474,2.16,9.0,0.193,,0,""
"15k_0p41.mtx",15449,15449,0.81,1930655,2,"Guided, chunk=8",146.002,2.17,9.0,0.227,,0,""
"15k_0p41.mtx",15449,15449,0.81,1930655,2,"Guided, chunk=16",145.812,2.17,9.1,0.056,0.11,0,""
"15k_0p41.mtx",15449,15449,0.81,1930655,2,"Guided, chunk=32",145.850,2.17,9.1,0.143,0.09,0,""
"15k_0p41.mtx",15449,15449,0.81,1930655,2,"Auto (runtime)",145.906,2.17,9.1,0.129,0.05,0,""
"15k_0p41.mtx",15449,15449,0.81,1930655,2,"Static+SIMD, chunk=8",1.189,266.46,1110.3,0.069,99.19,0,""
"15k_0p41.mtx",15449,15449,0.81,1930655,2,"Static+SIMD, chunk=16",1.139,278.26,1159.4,0.043,99.22,0,""
"15k_0p41.mtx",15449,15449,0.81,1930655,2,"Static+SIMD, chunk=32",1.103,287.30,1197.1,0.004,99.24,0,""
"15k_0p41.mtx",15449,15449,0.81,1930655,2,"Dynamic+SIMD, chunk=8",1.375,230.48,960.3,0.011,99.06,0,""
"15k_0p41.mtx",15449,15449,0.81,1930655,2,"Dynamic+SIMD, chunk=16",1.229,257.94,1074.8,0.008,99.16,0,""
"15k_0p41.mtx",15449,15449,0.81,1930655,2,"Dynamic+SIMD, chunk=32",1.177,269.30,1122.1,0.008,99.19,0,""
"15k_0p41.mtx",15449,15449,0.81,1930655,2,"Guided+SIMD, chunk=8",1.102,287.57,1198.2,0.008,99.25,0,""
"15k_0p41.mtx",15449,15449,0.81,1930655,2,"Guided+SIMD, chunk=16",1.101,287.90,1199.6,0.010,99.25,0,""
"15k_0p41.mtx",15449,15449,0.81,1930655,2,"Guided+SIMD, chunk=32",1.100,288.12,1200.5,0.010,99.25,0,""
"15k_0p41.mtx",15449,15449,0.81,1930655,2,"Static+SIMD+Affinity,",1.109,285.86,1191.1,0.005,99.24,0,""
"15k_0p41.mtx",15449,15449,0.81,1930655,2,"Static+SIMD+Affinity,",1.100,288.05,1200.2,0.002,99.25,0,""
"15k_0p41.mtx",15449,15449,0.81,1930655,2,"Guided+SIMD+Affinity,",1.093,290.04,1208.5,0.005,99.25,0,""
"15k_0p41.mtx",15449,15449,0.81,1930655,2,"Guided+SIMD+Register,",1.087,291.58,1214.9,0.006,99.26,0,""
"15k_0p41.mtx",15449,15449,0.81,1930655,2,"Guided+SIMD+Register,",1.087,291.60,1215.0,0.006,99.26,0,""
"15k_0p41.mtx",15449,15449,0.81,1930655,2,"Static+SIMD+Register,",1.096,289.29,1205.4,0.001,99.25,0,""
"15k_0p41.mtx",15449,15449,0.81,1930655,2,"Static+SIMD+Register,",1.103,287.44,1197.7,0.002,99.24,0,""
"15k_0p41.mtx",15449,15449,0.81,1930655,2,"Task-based+SIMD",6.471,48.97,204.1,0.219,95.57,0,""
"15k_0p41.mtx",15449,15449,0.81,1930655,2,"Guided+SIMD+Align+Affin,",1.091,290.43,1210.1,0.008,99.25,0,""
"15k_0p41.mtx",15449,15449,0.81,1930655,2,"Static+SIMD+Align+Affin,",1.098,288.76,1203.2,0.001,99.25,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,12,"Static (default)",12.697,11.29,47.0,0.015,0.00,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,12,"Static, chunk=8",12.803,11.19,46.6,0.048,,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,12,"Static, chunk=32",12.837,11.16,46.5,0.020,,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,12,"Dynamic, chunk=8",12.729,11.26,46.9,0.023,,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,12,"Dynamic, chunk=16",12.691,11.29,47.1,0.020,0.05,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,12,"Dynamic, chunk=32",12.696,11.29,47.0,0.026,0.01,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,12,"Dynamic, chunk=64",12.705,11.28,47.0,0.026,,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,12,"Guided, chunk=8",12.609,11.37,47.4,0.028,0.70,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,12,"Guided, chunk=16",12.620,11.36,47.3,0.033,0.61,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,12,"Guided, chunk=32",12.669,11.31,47.1,0.035,0.22,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,12,"Auto (runtime)",12.651,11.33,47.2,0.015,0.36,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,12,"Static+SIMD, chunk=8",0.055,2622.15,10925.6,0.002,99.57,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,12,"Static+SIMD, chunk=16",0.053,2687.21,11196.7,0.002,99.58,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,12,"Static+SIMD, chunk=32",0.052,2761.19,11505.0,0.002,99.59,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,12,"Dynamic+SIMD, chunk=8",0.101,1423.44,5931.0,0.002,99.21,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,12,"Dynamic+SIMD, chunk=16",0.068,2118.43,8826.8,0.001,99.47,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,12,"Dynamic+SIMD, chunk=32",0.056,2571.69,10715.4,0.002,99.56,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,12,"Guided+SIMD, chunk=8",0.052,2761.73,11507.2,0.001,99.59,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,12,"Guided+SIMD, chunk=16",0.050,2850.27,11876.1,0.001,99.60,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,12,"Guided+SIMD, chunk=32",0.049,2902.11,12092.1,0.001,99.61,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,12,"Static+SIMD+Affinity,",0.051,2825.45,11772.7,0.003,99.60,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,12,"Static+SIMD+Affinity,",0.053,2681.48,11172.8,0.002,99.58,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,12,"Guided+SIMD+Affinity,",0.049,2904.80,12103.3,0.001,99.61,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,12,"Guided+SIMD+Register,",0.049,2934.27,12226.1,0.001,99.62,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,12,"Guided+SIMD+Register,",0.051,2794.99,11645.8,0.002,99.60,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,12,"Static+SIMD+Register,",0.047,3052.24,12717.7,0.001,99.63,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,12,"Static+SIMD+Register,",0.046,3131.41,13047.6,0.001,99.64,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,12,"Task-based+SIMD",53.526,2.68,11.2,7.965,,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,12,"Guided+SIMD+Align+Affin,",0.047,3060.18,12750.7,0.000,99.63,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,12,"Static+SIMD+Align+Affin,",0.049,2901.31,12088.8,0.004,99.61,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Static (default)",94.672,1.02,4.3,1.937,0.00,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Static, chunk=8",93.383,1.04,4.3,0.273,1.36,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Static, chunk=32",94.617,1.02,4.3,1.633,0.06,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Dynamic, chunk=8",93.876,1.03,4.3,1.164,0.84,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Dynamic, chunk=16",93.494,1.04,4.3,0.641,1.24,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Dynamic, chunk=32",93.427,1.04,4.3,0.330,1.31,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Dynamic, chunk=64",93.453,1.04,4.3,0.314,1.29,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Guided, chunk=8",93.358,1.04,4.3,0.136,1.39,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Guided, chunk=16",93.421,1.04,4.3,0.260,1.32,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Guided, chunk=32",93.398,1.04,4.3,0.212,1.35,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Auto (runtime)",94.502,1.03,4.3,1.677,0.18,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Static+SIMD, chunk=8",1.316,73.68,307.0,0.003,98.61,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Static+SIMD, chunk=16",1.313,73.89,307.9,0.002,98.61,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Static+SIMD, chunk=32",1.311,73.97,308.2,0.002,98.62,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Dynamic+SIMD, chunk=8",1.342,72.26,301.1,0.002,98.58,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Dynamic+SIMD, chunk=16",1.324,73.26,305.3,0.002,98.60,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Dynamic+SIMD, chunk=32",1.315,73.75,307.3,0.002,98.61,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Guided+SIMD, chunk=8",1.310,74.06,308.6,0.003,98.62,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Guided+SIMD, chunk=16",1.312,73.89,307.9,0.005,98.61,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Guided+SIMD, chunk=32",1.310,74.02,308.4,0.003,98.62,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Static+SIMD+Affinity,",1.313,73.87,307.8,0.002,98.61,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Static+SIMD+Affinity,",1.311,73.99,308.3,0.003,98.62,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Guided+SIMD+Affinity,",1.314,73.81,307.5,0.003,98.61,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Guided+SIMD+Register,",1.301,74.52,310.5,0.002,98.63,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Guided+SIMD+Register,",1.327,73.07,304.5,0.028,98.60,0,""
