num_procs,matrix,rows,cols,nnz,density_pct,config_name,avg_time_ms,std_dev_ms,min_time_ms,max_time_ms,comm_time_ms,compute_time_ms,speedup,efficiency_pct,iterations,notes
32,2097k_0p0001.mtx,2097152,2097152,6291408,0.0001,MPI_Bcast+Gatherv,4468.6766,173.8237,4182.4098,4673.5096,4442.4187,2.9213,1.0000,3.12,10,""
32,2097k_0p0001.mtx,2097152,2097152,6291408,0.0001,Ibcast+Overlap,7583.9933,160.7442,7231.0605,7682.1256,7519.9968,2.9336,0.5892,1.84,10,""
64,2097k_0p0001.mtx,2097152,2097152,6291408,0.0001,MPI_Bcast+Gatherv,7283.0147,150.3576,6973.8934,7560.7035,7251.8992,7.2913,1.0000,1.56,10,""
64,2097k_0p0001.mtx,2097152,2097152,6291408,0.0001,Ibcast+Overlap,11758.8058,123.5995,11591.6400,11971.3755,11774.2574,1.3982,0.6194,0.97,10,""
128,2097k_0p0001.mtx,2097152,2097152,6291408,0.0001,MPI_Bcast+Gatherv,19058.7852,178.5323,18794.9944,19378.0019,19021.4269,0.8922,1.0000,0.78,10,""
128,2097k_0p0001.mtx,2097152,2097152,6291408,0.0001,Ibcast+Overlap,23194.1490,292.7234,23015.0428,23837.0533,23300.7158,0.8889,0.8217,0.64,10,""
2,1438k_0p0016.mtx,1437960,1437960,32297325,0.0016,MPI_Bcast+Gatherv,935.9981,11.6535,915.1187,963.0027,875.4521,61.5488,1.0000,50.00,10,""
2,1438k_0p0016.mtx,1437960,1437960,32297325,0.0016,Ibcast+Overlap,939.4902,13.4523,935.0033,964.9971,882.8569,62.8413,0.9963,49.81,10,""
4,1438k_0p0016.mtx,1437960,1437960,32297325,0.0016,MPI_Bcast+Gatherv,1671.4828,63.6913,1596.0200,1793.9968,1631.2032,52.2958,1.0000,25.00,10,""
4,1438k_0p0016.mtx,1437960,1437960,32297325,0.0016,Ibcast+Overlap,1595.9862,338.9629,1484.0291,2182.9867,1740.3151,30.4830,1.0473,26.18,10,""
8,1438k_0p0016.mtx,1437960,1437960,32297325,0.0016,MPI_Bcast+Gatherv,1859.9415,52.2497,1850.1580,1977.8788,1837.5419,50.6733,1.0000,12.50,10,""
8,1438k_0p0016.mtx,1437960,1437960,32297325,0.0016,Ibcast+Overlap,2015.9333,104.8639,1861.1755,2210.0890,1972.7012,42.6039,0.9226,11.53,10,""
16,1438k_0p0016.mtx,1437960,1437960,32297325,0.0016,MPI_Bcast+Gatherv,4703.4608,95.3098,4605.8378,4925.0767,4646.0299,63.6707,1.0000,6.25,10,""
16,1438k_0p0016.mtx,1437960,1437960,32297325,0.0016,Ibcast+Overlap,5280.0083,201.9432,5055.1968,5695.9598,5265.5487,63.9580,0.8908,5.57,10,""
32,1438k_0p0016.mtx,1437960,1437960,32297325,0.0016,MPI_Bcast+Gatherv,4224.8605,132.9745,4097.2593,4543.1206,4266.5780,2.3507,1.0000,3.12,10,""
32,1438k_0p0016.mtx,1437960,1437960,32297325,0.0016,Ibcast+Overlap,6206.9209,144.9040,5889.6275,6337.4927,6167.5110,2.3826,0.6807,2.13,10,""
64,1438k_0p0016.mtx,1437960,1437960,32297325,0.0016,MPI_Bcast+Gatherv,10712.2952,131.8826,10495.9979,10884.9878,10712.9225,1.4966,1.0000,1.56,10,""
64,1438k_0p0016.mtx,1437960,1437960,32297325,0.0016,Ibcast+Overlap,12941.7684,150.6897,12800.0107,13192.0285,12986.0772,1.5758,0.8277,1.29,10,""
128,1438k_0p0016.mtx,1437960,1437960,32297325,0.0016,MPI_Bcast+Gatherv,5700.5184,160.3479,5376.9898,5895.1232,5662.8467,0.6352,1.0000,0.78,10,""
128,1438k_0p0016.mtx,1437960,1437960,32297325,0.0016,Ibcast+Overlap,11062.4337,165.5320,10857.0914,11403.0349,11064.3285,14.6184,0.5153,0.40,10,""
2,1565k_0p0024.mtx,1564794,1564794,59485419,0.0024,MPI_Bcast+Gatherv,1039.4530,5.8878,1025.1117,1041.0023,956.0409,80.8599,1.0000,50.00,10,""
2,1565k_0p0024.mtx,1564794,1564794,59485419,0.0024,Ibcast+Overlap,1039.9727,2.5850,1035.0015,1042.0148,956.9157,81.8835,0.9995,49.98,10,""
